index,customer_id,gender,region,city,account_status,closed_date,last_login_at,total_marketings,total_mi_opened,total_mi_clicked,total_mi_converted,total_orders,count_order_completed,avg_order_amount,total_payments,count_payment_failed,avg_payment_amount,total_tickets,avg_ticket_resolution,avg_csat_score,count_null_csat_score,total_usages,avg_session_duration,total_subscriptions,current_auto_renew,current_sub_plan,current_sub_status,age,customer_tenure
0,1,M,Mien Nam,Ho Chi Minh,Active,,2026-07-26 09:27:00,2.0,0.0,0.0,0.0,,,,2.0,0.0,99000.0,,,,,,,1.0,True,Plus,Active,34.6,0.8
1,2,M,Mien Bac,Quang Ninh,Active,,2025-11-21 03:19:00,3.0,2.0,1.0,0.0,,,,,,,,,,,6.0,800.8333333333334,1.0,False,Plus,Expired,46.0,0.6
2,3,M,Mien Nam,Can Tho,Active,,2026-07-02 17:00:00,1.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0,True,Plus,Active,38.5,0.0
3,4,F,Mien Nam,Can Tho,Active,,2026-07-17 15:02:00,3.0,0.0,0.0,0.0,3.0,3.0,1.937e+06,2.0,0.0,1.644e+06,,,,,,,1.0,True,Free,Active,47.1,0.8
5,6,F,Mien Trung,Nha Trang,Active,,2026-07-06 04:26:00,6.0,2.0,1.0,0.0,,,,2.0,0.0,99000.0,,,,,,,1.0,True,Plus,Active,19.5,1.0
7,8,F,Mien Nam,Ho Chi Minh,Active,,2026-07-25 08:38:00,2.0,1.0,0.0,0.0,7.0,6.0,1.4904286e+06,5.0,0.0,878000.0,,,,,,,1.0,True,Plus,Active,56.4,1.9
8,9,F,Mien Nam,Can Tho,Active,,2026-06-25 05:58:00,4.0,1.0,1.0,0.0,3.0,3.0,350333.34,4.0,0.0,323250.0,,,,,,,1.0,True,Premium,Active,52.3,1.0
10,11,M,Mien Nam,Ho Chi Minh,Active,,2025-04-30 16:08:00,,,,,,,,,,,,,,,,,,,,,30.8,1.1
11,12,M,Mien Trung,Da Nang,Active,,2025-01-28 12:01:00,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,54.0,1.1
12,13,M,Mien Bac,Bac Ninh,Active,,2026-06-17 08:17:00,4.0,1.0,0.0,0.0,4.0,2.0,1.1225e+06,5.0,1.0,567600.0,,,,,,,1.0,True,Plus,Active,51.6,0.3
14,15,M,Mien Bac,Bac Ninh,Active,,2024-07-06 20:21:00,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,60.3,1.9
15,16,M,Mien Trung,Nha Trang,Active,,2026-01-13 23:40:00,2.0,0.0,0.0,0.0,,,,,,,,,,,27.0,866.2222222222222,1.0,False,Free,Cancelled,57.0,1.2
16,17,M,Mien Nam,Long Xuyen,Active,,2026-07-19 17:27:00,3.0,1.0,0.0,0.0,3.0,3.0,731333.3,4.0,0.0,462500.0,,,,,,,1.0,True,Plus,Active,18.6,0.7
17,18,F,Mien Trung,Da Nang,Active,,2026-07-22 18:46:00,,,,,1.0,0.0,186000.0,4.0,1.0,142500.0,,,,,,,1.0,True,Free,Active,62.0,2.0
18,19,F,Mien Nam,Can Tho,Active,,2026-07-03 11:11:00,1.0,0.0,0.0,0.0,2.0,2.0,679000.0,3.0,0.0,392333.34,1.0,7.6,,1.0,,,1.0,True,Premium,Active,50.6,0.9
19,20,F,Mien Nam,Bien Hoa,Active,,2025-12-21 10:13:00,2.0,0.0,0.0,0.0,2.0,2.0,304000.0,1.0,0.0,304000.0,1.0,11.8,4.0,0.0,25.0,694.24,1.0,False,Plus,Expired,61.1,1.2
20,21,F,Mien Bac,Ha Noi,Active,,2026-07-10 07:34:00,1.0,0.0,0.0,0.0,,,,,,,1.0,6.9,,1.0,,,1.0,True,Free,Active,48.7,1.0
21,22,F,Mien Bac,Bac Ninh,Active,,2026-07-14 11:41:00,5.0,1.0,0.0,0.0,4.0,4.0,2.235e+06,3.0,0.0,1.92e+06,,,,,,,1.0,True,Free,Active,45.2,0.8
22,23,M,Mien Nam,Bien Hoa,Active,,2026-07-11 23:45:00,2.0,1.0,0.0,0.0,2.0,2.0,511000.0,1.0,0.0,511000.0,,,,,,,1.0,True,Free,Active,62.8,2.3
23,24,M,Mien Trung,Vinh,Active,,2026-07-23 14:54:00,2.0,2.0,1.0,0.0,,,,,,,,,,,,,1.0,True,Free,Active,20.9,0.1
24,25,F,Mien Bac,Bac Ninh,Active,,2026-07-22 06:42:00,5.0,1.0,0.0,0.0,,,,,,,,,,,,,1.0,True,Free,Active,50.1,1.1
25,26,M,Mien Bac,Ha Noi,Active,,2026-07-15 13:02:00,1.0,0.0,0.0,0.0,2.0,0.0,2.121e+06,6.0,0.0,1.447e+06,,,,,,,1.0,True,Plus,Active,38.1,2.4
26,27,F,Mien Bac,Ha Noi,Active,,2026-07-17 13:19:00,1.0,0.0,0.0,0.0,2.0,1.0,1.5215e+06,4.0,1.0,1.5215e+06,,,,,,,1.0,True,Free,Active,63.3,2.4
27,28,F,Mien Trung,Nha Trang,Active,,2026-07-25 03:04:00,3.0,0.0,0.0,0.0,1.0,1.0,1.303e+06,1.0,0.0,1.303e+06,,,,,,,1.0,True,Free,Active,40.1,0.5
28,29,M,Mien Nam,Long Xuyen,Active,,2026-07-28 08:53:00,1.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0,True,Free,Active,48.1,1.1
29,30,F,Mien Nam,Can Tho,Active,,2026-07-29 02:17:00,,,,,2.0,2.0,556000.0,1.0,0.0,556000.0,,,,,,,1.0,True,Free,Active,39.2,1.8
30,31,M,Mien Bac,Nam Dinh,Active,,2026-07-28 13:27:00,1.0,1.0,0.0,0.0,2.0,2.0,3.151e+06,3.0,0.0,1.2163334e+06,,,,,,,1.0,True,Premium,Active,19.9,2.1
31,32,F,Mien Bac,Bac Ninh,Active,,2026-07-29 15:30:00,,,,,,,,,,,,,,,,,1.0,True,Free,Active,29.3,2.2
32,33,F,Mien Trung,Hue,Active,,2026-07-11 20:03:00,1.0,0.0,0.0,0.0,,,,2.0,0.0,99000.0,2.0,7.6499996,3.5,0.0,,,1.0,True,Premium,Active,20.0,1.4
33,34,M,Mien Trung,Hue,Active,,2026-07-23 05:10:00,2.0,1.0,1.0,0.0,,,,,,,,,,,,,1.0,True,Free,Active,44.2,2.4
34,35,M,Mien Bac,Ha Noi,Active,,2026-07-25 15:05:00,1.0,1.0,0.0,0.0,1.0,1.0,200000.0,2.0,0.0,5.2315e+06,,,,,,,1.0,True,Free,Active,21.4,2.1
36,37,F,Mien Trung,Quy Nhon,Active,,2026-07-29 16:50:00,1.0,0.0,0.0,0.0,2.0,2.0,826500.0,4.0,0.0,537750.0,,,,,,,1.0,True,Premium,Active,62.0,2.3
37,38,F,Mien Trung,Quy Nhon,Active,,2026-06-15 15:18:00,2.0,1.0,1.0,0.0,2.0,0.0,249000.0,2.0,0.0,249000.0,2.0,3.8,3.0,0.0,5.0,1427.2,1.0,False,Free,Expired,34.8,1.5
38,39,M,Mien Nam,Bien Hoa,Active,,2026-07-10 23:55:00,1.0,0.0,0.0,0.0,2.0,0.0,3.261e+06,2.0,0.0,3.261e+06,,,,,,,1.0,True,Free,Active,39.3,1.9
40,41,M,Mien Nam,Can Tho,Closed,2025-06-27,2025-06-22 01:39:00,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,46.6,2.1
41,42,F,Mien Bac,Nam Dinh,Active,,2026-07-29 05:13:00,3.0,2.0,1.0,0.0,,,,2.0,1.0,249000.0,1.0,5.2,,1.0,,,1.0,True,Premium,Active,53.2,0.8
42,43,F,Mien Nam,Vung Tau,Active,,2026-07-10 04:26:00,,,,,1.0,1.0,1.768e+06,1.0,0.0,1.768e+06,,,,,,,1.0,False,Free,Cancelled,62.1,1.4
44,45,M,Mien Trung,Da Nang,Active,,2026-06-03 20:05:00,,,,,1.0,1.0,5.142e+06,2.0,1.0,5.142e+06,,,,,,,1.0,True,Plus,Active,26.7,1.3
45,46,M,Mien Bac,Hai Phong,Active,,2026-06-25 00:05:00,2.0,0.0,0.0,0.0,,,,2.0,1.0,249000.0,1.0,1.6,,1.0,,,1.0,True,Premium,Active,20.3,0.7
46,47,F,Mien Bac,Nam Dinh,Closed,2025-09-02,2025-09-01 22:41:00,2.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,41.7,1.4
47,48,M,Mien Nam,Bien Hoa,Active,,2026-07-14 11:34:00,1.0,0.0,0.0,0.0,1.0,1.0,1.463e+06,2.0,0.0,781000.0,,,,,,,1.0,True,Plus,Active,49.0,0.2
48,49,F,Mien Bac,Hai Phong,Active,,2026-07-24 15:26:00,2.0,1.0,0.0,0.0,2.0,2.0,1.784e+06,1.0,0.0,1.784e+06,,,,,,,1.0,True,Free,Active,20.3,1.4
55,56,M,Mien Trung,Nha Trang,Active,,2026-06-10 00:11:00,4.0,1.0,0.0,0.0,1.0,1.0,800000.0,1.0,0.0,800000.0,,,,,,,1.0,True,Free,Active,29.8,1.9
57,58,M,Mien Nam,Can Tho,Active,,2025-10-19 01:45:00,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,20.8,0.8
58,59,M,Mien Trung,Nha Trang,Active,,2026-07-20 22:33:00,1.0,1.0,0.0,0.0,,,,,,,,,,,,,1.0,True,Free,Active,47.4,1.8
59,60,F,Mien Nam,Bien Hoa,Active,,2026-07-14 19:41:00,3.0,2.0,1.0,0.0,,,,,,,1.0,1.8,3.0,0.0,,,1.0,True,Free,Active,36.4,2.1
60,61,M,Mien Trung,Hue,Active,,2026-07-11 15:45:00,4.0,2.0,0.0,0.0,2.0,2.0,1.047e+06,3.0,0.0,515000.0,,,,,,,1.0,True,Premium,Active,46.7,1.4
61,62,F,Mien Trung,Hue,Active,,2026-07-25 14:23:00,8.0,3.0,0.0,0.0,,,,2.0,0.0,249000.0,,,,,,,1.0,True,Premium,Active,50.3,0.6
62,63,F,Mien Bac,Hai Phong,Active,,2026-07-27 09:11:00,3.0,3.0,2.0,1.0,13.0,13.0,1.4453078e+06,10.0,0.0,1.307e+06,,,,,,,1.0,True,Premium,Active,62.7,0.3
63,64,M,Mien Trung,Vinh,Active,,2024-09-27 21:58:00,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,59.2,1.9
